,Author Country,Latitudes,Longitudes
0,United States,39.3812661305678,-97.9222112121185
1,Spain,41.2948556295683,-4.05568501525488
2,United States,39.3812661305678,-97.9222112121185
3,Trinidad & Tobago,10.687866,-61.615387
4,Jamaica,18.1512945138,-77.3192220134904
5,Haiti,19.1824357256899,-72.434514974505
6,Peru,-10.1510925136244,-75.3111319559783
7,Venezuela,7.61957014788959,-65.801997444749
8,Martinique,14.6525485200192,-61.0212870487474
9,Dominican Republic,18.6062576970524,-70.1067224933053
10,Trinidad & Tobago,10.687866,-61.615387
11,Dominica,18.6062576970524,-70.1067224933053
12,England,52.38145972,-0.676181762467007
13,Barbados,13.1787146900535,-59.5619546611369
14,,23.03139,113.13732
15,Wales,52.3287887217,-3.60824203189663
16,Cuba,21.9468717021679,-79.2366720528138
17,Guatemala,15.6055893260292,-90.3900017126126
18,St. Lucia,27.911547,-15.54052
19,France,47.8249046208979,2.61878695312962
20,Germany,51.1334813439932,10.0183432948567
21,The Bahamas,25.07471,-77.3408
22,Italy,42.5041539170675,12.6463610364431
23,Guyana,5.62382279034036,-58.9747808781477
24,Australia,-25.7349684916223,134.489562606981
25,St. Kitts & Nevis,-23.48634645,-46.60998175
26,Canada,55.5859012851966,-105.750595856519
27,Ghana,6.88085426914622,-1.16759442759906
28,New Caledonia,-21.3163377992766,165.715489207242
29,Grenada,12.1129258398845,-61.6793774505556
30,French Guiana,4.35792079157208,-53.1743920884317
31,Guadeloupe,15.99454009,-61.72715035
32,El Salvador,13.7368969076932,-88.8665114518297
33,Nigeria,9.59395988695573,8.10530640960786
34,Bonaire,12.18333,-68.23333
35,Belize,17.2168536428077,-88.686006535616
36,Portugual,-19.8828023,-43.9567939
37,Brazil,-9.58890301712257,-51.6197890205486
38,Austrailia,37.7349,-122.502314
39,Puerto Rico,18.2213294459009,-66.4623392630918
40,Britain,54.2379333607472,-2.36966957036279
41,Antigua & Barbuda,36.7256776,-4.2405603
42,New York,40.7306,-73.9866
43,Ireland,53.3054943871234,-7.73764888796793
44,India,22.1991660760527,78.476681027237
45,St Kitts & Nevis,-23.48634645,-46.60998175
46,St. Vincent & the Grenadines,-32.978932,27.908603
47,Suriname,3.69296650830846,-55.9118262275729
48,Curaçao,12.178308183856,-68.9817448480808
49,Argentina,-36.252002,-63.954193
50,Serbia,44.2267366369366,20.7952998132557
51,Cameroon,4.80651220617253,12.2137541551234
52,Demerara,6.75,-57.98333
53,Mexico,23.9504642310912,-102.532867448126
54,Chile,-26.783346,-69.761008
55,St. Martin,30.125201,-91.83345
56,Bermuda,32.3179203152518,-64.7370103996652
57,Gabon,-0.590945177481755,11.7972366735751
58,Jerusalem,31.77331512,35.18679028
59,Angola,-12.0993951347033,17.912292115939
60,Portugal,39.6009946583093,-8.56273059638958
61,Finland,62.7777539652943,26.199539005192
62,Guinea,10.7855460398783,-11.0298621655307
63,Russia,61.9945734073292,96.6697054604756
64,New Zealand,-41.8388752215127,171.779900195937
65,Ukraine,49.3227937844972,31.3202829593814
66,Columbia,3.06508799999999,-73.129056
67,Honduras,14.7616644478253,-86.9216408872841
68,British Guiana,41.459957,2.224583
69,British Virgin Islands,18.42692843,-64.62317233
70,Trinidad and Tobago,10.4686430117018,-61.2531757283896
71,Virgin Islands,17.7355381596591,-64.7625859114436
72,Paris,48.85658,2.35183
73,Lebanon,33.9202654117664,35.888026075855
74,Colombia,3.06508799999999,-73.129056
